Modelo;P@20;R@20;MRR@20;nDCG@20
bm25_padrao;0,27099999999999996;0,4538184038184038;0,8665;0,5617893454258618
select;0,143;0,23841702741702744;0,7948333333333334;0,40584061974598
select_swan;0,156;0,2596221556221556;0,8683333333333333;0,44418019763692157
select_swan_synonym;0,157;0,26105072705072707;0,8666666666666666;0,4457361159717206
bert-base-portuguese-cased-finetuned-tcu-acordaos_mean;0,07700000000000001;0,1291270951270951;0,364405408317173;0,14872351373406
bert-base-portuguese-cased-finetuned-tcu-acordaos_cls;0,054000000000000006;0,08742091242091242;0,25190580618212194;0,10217936752124496
bert-base-portuguese-cased_mean;0,07600000000000001;0,12754201354201353;0,32798874165050634;0,1390068250295294
bert-base-portuguese-cased_cls;0,038;0,06383583083583083;0,1932246221270989;0,06686373171813456
bert-large-portuguese-cased_mean;0,10400000000000001;0,17435908535908534;0,4200306894687699;0,20410448283766083
bert-large-portuguese-cased_cls;0,017;0,028810189810189808;0,06479696120872591;0,028324448584864558
Legal-BERTimbau-sts-large-ma-v3_mean;0,11900000000000001;0,1956040626040626;0,4689184324447482;0,23442414788692975
Legal-BERTimbau-sts-large-ma-v3_cls;0,064;0,10784959484959485;0,3047698412698413;0,13142197437513567
bert-large-portuguese-cased-legal-mlm-sts-v1,0_mean;0,21599999999999997;0,35297879897879897;0,7161904761904762;0,4293337313975211
bert-large-portuguese-cased-legal-mlm-sts-v1,0_cls;0,161;0,26424553224553227;0,5939876585402901;0,3197153484797148
bert-large-portuguese-cased-legal-mlm-nli-sts-v1_mean;0,18;0,2971711621711622;0,6383809523809524;0,36429858279645866
bert-large-portuguese-cased-legal-mlm-nli-sts-v1_cls;0,147;0,24447186147186145;0,589857142857143;0,31589939865285294
paraphrase-multilingual-mpnet-base-v2_mean;0,16700000000000004;0,2742024642024642;0,6050793650793651;0,34013815664080277
paraphrase-multilingual-mpnet-base-v2_cls;0,08199999999999999;0,13322477522477524;0,468;0,1926651704729169
text-embedding-ada-002_mean;0,317;0,5247238317238317;0,9145098039215686;0,6419051915774407
text-embedding-3-small_mean;0,30400000000000005;0,5052939282939283;0,8964444444444445;0,6250621280782126
text-embedding-3-large_mean;0,318;0,5261198801198801;0,8937619047619048;0,6485395288857642
